"Article" "Mean" "Maximum" "Total(Year)"
"List of types of malnutrition" 107 1583 311676
"Fungal pneumonia" 106 815 308325
"Kyasanur Forest disease" 106 2192 310995
"Ottawa Charter for Health Promotion" 105 376 307073
"1846–1860 cholera pandemic" 103 2124 300370
"Behavior change (public health)" 102 821 299194
"Canada Health Act" 102 943 299055
"International Health Regulations" 102 5986 297984
"Global Burden of Disease Study" 101 524 296513
"Malaria prophylaxis" 101 1155 294869
"Academy of Nutrition and Dietetics" 100 1036 292197
"National Institute of Nutrition, Hyderabad" 100 2096 291097
"1826–1837 cholera pandemic" 99 2134 290144
"Coronavirus diseases" 99 2060 288261
"Gamaleya Research Institute of Epidemiology and Microbiology" 98 5953 285272
"Infection prevention and control" 98 1237 285447
"Environmental disease" 97 533 283936
"List of eponymous diseases" 97 2235 283219
"Blount's disease" 96 3457 279450
"Disease vector" 96 769 280840
"Health care reform" 96 1714 279945
"Aging-associated diseases" 95 1484 277805
"Calcium pyrophosphate dihydrate crystal deposition disease" 95 365 278437
"Hailey–Hailey disease" 95 8900 278194
"Quality of life (healthcare)" 95 1002 278325
"Illness as Metaphor" 93 409 271002
"Metabolic dysfunction–associated steatotic liver disease" 93 1710 271601
"Autosomal dominant polycystic kidney disease" 92 315 269037
"European Centre for Disease Prevention and Control" 92 1284 267931
"Psychiatric-mental health nurse practitioner" 92 568 269746
"Disease outbreak" 91 1085 266915
"Epidemiology of measles" 91 4126 265228
"Nutritional value" 90 686 262798
"Health coaching" 89 822 259655
"Healthcare reform in the United States" 88 530 258069
"Neonatal infection" 88 1320 256771
"2009 swine flu pandemic by country" 87 5298 254229
"Koro (disease)" 87 23384 252841
"Prevalence of mental disorders" 87 1584 255398
"Doctor of Public Health" 85 978 247811
"Pneumonia severity index" 84 380 246102
"Gorham's disease" 83 2856 242113
"International Journal of Environmental Research and Public Health" 83 720 241649
"List of foodborne illness outbreaks by death toll" 83 3729 242169
"List of foodborne illness outbreaks in the United States" 83 5558 243292
"Eosinophilic pneumonia" 82 3064 240068
"Agency for Healthcare Research and Quality" 81 1342 235587
"Waterborne disease" 81 1225 236270
"Diarrhoea" 80 1281 234437
"Disease surveillance" 79 879 230214
"National Malaria Eradication Program" 79 63768 229794
"World Malaria Day" 79 6330 231282
"COVID-19 pandemic in Vatican City" 78 1069 228148
"Lipid pneumonia" 78 1558 227553
"735–737 Japanese smallpox epidemic" 77 1566 224775
"Epidemiology of cancer" 77 1004 224948
"Lafora disease" 76 1043 220651
"List of notifiable diseases" 76 2123 221018
"Pneumococcal infection" 76 1512 223322
"Health law" 75 408 217870
"List of infectious diseases causing flu-like syndrome" 75 958 219563
"Public Health Agency of Canada" 75 1029 217744
"Mental disorders and gender" 74 1539 216163
"1775–1782 North American smallpox epidemic" 73 8203 213528
"Clinical nutrition" 73 1289 214705
"Mental health counselor" 73 374 214249
"Health crisis" 72 776 211812
"Men's health" 72 1619 210472
"Mental health first aid" 71 459 208627
"Chinese Center for Disease Control and Prevention" 70 3025 205455
"National Health and Medical Research Council" 70 14959 205587
"Spanish National Health System" 70 818 204498
"UK Health Security Agency" 70 741 205356
"International Classification of Functioning, Disability and Health" 69 919 202981
"Pinta (disease)" 69 319 202381
"Epidemic Intelligence Service" 68 2323 197946
"Health insurance mandate" 68 1319 198595
"Infectious diseases (medical specialty)" 68 1343 197380
"Treatment of mental disorders" 68 1481 197929
"Epidemiology of malnutrition" 67 5533 194407
"List of diseases (A)" 67 1041 195810
"List of national public health agencies" 67 917 194879
"Air pollution in Hong Kong" 66 822 193642
"Bombay plague epidemic" 66 2309 192519
"Pay for performance (healthcare)" 66 557 191818
"Pneumococcal pneumonia" 66 1152 193671
"Extramammary Paget's disease" 65 1211 189022
"Philosophy of healthcare" 65 465 190935
"Global Health Initiatives" 64 662 185820
"Human genetic resistance to malaria" 64 1173 188119
"Infectious diseases" 64 774 187295
"Malaria antigen detection tests" 64 1793 187399
"Nutritional science" 64 436 186075
"Vegetarian nutrition" 64 411 186234
"Mental health in association football" 63 914 183951
"Mental health in education" 63 576 184475
"Overwhelming post-splenectomy infection" 63 216 182936
"Timeline of peptic ulcer disease and Helicobacter pylori" 63 1045 183260
"Epidemic curve" 62 1345 181829
"Healthcare reform debate in the United States" 62 1290 180252
"Self-help groups for mental health" 62 467 180641
"Health technology assessment" 61 1917 177943
"Necrotizing pneumonia" 61 509 178916
"Progressive disease" 61 3219 179240
"Carrion's disease" 60 1044 175130
"Health care finance in the United States" 60 969 176753
"Health effects of coffee" 60 593 176368
"Health For All" 60 1123 174152
"Prenatal nutrition" 60 601 175965
"Infection rate" 59 2126 171260
"Diagnosis of malaria" 58 846 168185
"Latent period (epidemiology)" 57 228 165697
"1837 Great Plains smallpox epidemic" 56 612 164807
"Abortion and mental health" 56 827 163513
"Hypertensive disease of pregnancy" 55 387 161733
"Mental health in South Korea" 55 918 160386
"National Health Insurance (Japan)" 55 586 160582
